H0,Omega_Lambda,k,t_crit
7.356154058501907400e+01,7.250249509808841530e-01,4.684204523428244782e-01,6.513419180342793879e+00
7.356154058501907400e+01,7.250249509808841530e-01,4.684204523428244782e-01,6.513419180342793879e+00
7.507734394295252400e+01,7.382040588640103040e-01,1.093819137818460435e-01,2.020662420640086054e+01
7.507734394295252400e+01,7.382040588640103040e-01,1.093819137818460435e-01,2.020662420640086054e+01
7.507734394295252400e+01,7.382040588640103040e-01,1.093819137818460435e-01,2.020662420640086054e+01
7.507734394295252400e+01,7.382040588640103040e-01,1.093819137818460435e-01,2.020662420640086054e+01
7.506702317125845525e+01,7.381178954586188334e-01,1.110982598509443753e-01,2.008668892048889276e+01
7.506702317125845525e+01,7.381178954586188334e-01,1.110982598509443753e-01,2.008668892048889276e+01
7.506702317125845525e+01,7.381178954586188334e-01,1.110982598509443753e-01,2.008668892048889276e+01
7.506702317125845525e+01,7.381178954586188334e-01,1.110982598509443753e-01,2.008668892048889276e+01
7.506702317125845525e+01,7.381178954586188334e-01,1.110982598509443753e-01,2.008668892048889276e+01
7.506702317125845525e+01,7.381178954586188334e-01,1.110982598509443753e-01,2.008668892048889276e+01
7.506702317125845525e+01,7.381178954586188334e-01,1.110982598509443753e-01,2.008668892048889276e+01
7.506702317125845525e+01,7.381178954586188334e-01,1.110982598509443753e-01,2.008668892048889276e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.507823387564195627e+01,7.383740729966351557e-01,1.096893069305209384e-01,2.029086625549922474e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503136533722133095e+01,7.376622110744575078e-01,1.125801913587878983e-01,1.977146623585000640e+01
7.503720409000246150e+01,7.378171024897322017e-01,1.112132281942475875e-01,1.996356486884382520e+01
7.503720409000246150e+01,7.378171024897322017e-01,1.112132281942475875e-01,1.996356486884382520e+01
7.503720409000246150e+01,7.378171024897322017e-01,1.112132281942475875e-01,1.996356486884382520e+01
7.503720409000246150e+01,7.378171024897322017e-01,1.112132281942475875e-01,1.996356486884382520e+01
7.503720409000246150e+01,7.378171024897322017e-01,1.112132281942475875e-01,1.996356486884382520e+01
7.503720409000246150e+01,7.378171024897322017e-01,1.112132281942475875e-01,1.996356486884382520e+01
7.503720409000246150e+01,7.378171024897322017e-01,1.112132281942475875e-01,1.996356486884382520e+01
7.503720409000246150e+01,7.378171024897322017e-01,1.112132281942475875e-01,1.996356486884382520e+01
7.503720409000246150e+01,7.378171024897322017e-01,1.112132281942475875e-01,1.996356486884382520e+01
7.503720409000246150e+01,7.378171024897322017e-01,1.112132281942475875e-01,1.996356486884382520e+01
7.487689619899551019e+01,7.380683442828424035e-01,1.246560954209891825e-01,1.643194513649895683e+01
7.487689619899551019e+01,7.380683442828424035e-01,1.246560954209891825e-01,1.643194513649895683e+01
7.487689619899551019e+01,7.380683442828424035e-01,1.246560954209891825e-01,1.643194513649895683e+01
7.487689619899551019e+01,7.380683442828424035e-01,1.246560954209891825e-01,1.643194513649895683e+01
7.487689619899551019e+01,7.380683442828424035e-01,1.246560954209891825e-01,1.643194513649895683e+01
7.487689619899551019e+01,7.380683442828424035e-01,1.246560954209891825e-01,1.643194513649895683e+01
7.487689619899551019e+01,7.380683442828424035e-01,1.246560954209891825e-01,1.643194513649895683e+01
7.487689619899551019e+01,7.380683442828424035e-01,1.246560954209891825e-01,1.643194513649895683e+01
7.487689619899551019e+01,7.380683442828424035e-01,1.246560954209891825e-01,1.643194513649895683e+01
7.487689619899551019e+01,7.380683442828424035e-01,1.246560954209891825e-01,1.643194513649895683e+01
7.483534398158440126e+01,7.377340241859335901e-01,1.248794203179379170e-01,1.620949198928951063e+01
7.483534398158440126e+01,7.377340241859335901e-01,1.248794203179379170e-01,1.620949198928951063e+01
7.483534398158440126e+01,7.377340241859335901e-01,1.248794203179379170e-01,1.620949198928951063e+01
7.486071253397608416e+01,7.380059921665955702e-01,1.222319300794108554e-01,1.656205311493548749e+01
7.492464910456347127e+01,7.380942085810332509e-01,1.124858415088137303e-01,1.785251174625744142e+01
7.492464910456347127e+01,7.380942085810332509e-01,1.124858415088137303e-01,1.785251174625744142e+01
7.492464910456347127e+01,7.380942085810332509e-01,1.124858415088137303e-01,1.785251174625744142e+01
7.492464910456347127e+01,7.380942085810332509e-01,1.124858415088137303e-01,1.785251174625744142e+01
7.492464910456347127e+01,7.380942085810332509e-01,1.124858415088137303e-01,1.785251174625744142e+01
7.479812563802921943e+01,7.383293090939074821e-01,1.158880940859129405e-01,1.612046481819523081e+01
7.479812563802921943e+01,7.383293090939074821e-01,1.158880940859129405e-01,1.612046481819523081e+01
7.468020363793586114e+01,7.376975144831914299e-01,1.203028515459459991e-01,1.499987797657885125e+01
7.469913829741936695e+01,7.379838346366999202e-01,1.196097817786743595e-01,1.508628291794498111e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.487137404719271672e+01,7.390120746409627461e-01,1.206601247946823136e-01,1.553904828496756352e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.497129406913091998e+01,7.396196321858129474e-01,1.206826512244657396e-01,1.586510395851500199e+01
7.492797842058405422e+01,7.394256589519655476e-01,1.205024226321691899e-01,1.566357556898774916e+01
7.492797842058405422e+01,7.394256589519655476e-01,1.205024226321691899e-01,1.566357556898774916e+01
7.480740031986233873e+01,7.387560578292533542e-01,1.207867710799695182e-01,1.479913503165324329e+01
7.480740031986233873e+01,7.387560578292533542e-01,1.207867710799695182e-01,1.479913503165324329e+01
7.480740031986233873e+01,7.387560578292533542e-01,1.207867710799695182e-01,1.479913503165324329e+01
7.480740031986233873e+01,7.387560578292533542e-01,1.207867710799695182e-01,1.479913503165324329e+01
7.480740031986233873e+01,7.387560578292533542e-01,1.207867710799695182e-01,1.479913503165324329e+01
7.480740031986233873e+01,7.387560578292533542e-01,1.207867710799695182e-01,1.479913503165324329e+01
7.480740031986233873e+01,7.387560578292533542e-01,1.207867710799695182e-01,1.479913503165324329e+01
7.473454824084471682e+01,7.387281648813932566e-01,1.186112710511663393e-01,1.465875511623116978e+01
7.473454824084471682e+01,7.387281648813932566e-01,1.186112710511663393e-01,1.465875511623116978e+01
7.473454824084471682e+01,7.387281648813932566e-01,1.186112710511663393e-01,1.465875511623116978e+01
7.473454824084471682e+01,7.387281648813932566e-01,1.186112710511663393e-01,1.465875511623116978e+01
7.473454824084471682e+01,7.387281648813932566e-01,1.186112710511663393e-01,1.465875511623116978e+01
7.473454824084471682e+01,7.387281648813932566e-01,1.186112710511663393e-01,1.465875511623116978e+01
