H0,Omega_Lambda,k,t_crit
7.363927332667191195e+01,7.262734081578361423e-01,5.141591691678729648e-01,6.480144672501489289e+00
7.372531356042935613e+01,7.267318892965674015e-01,4.922429545161955411e-01,6.510169923005606485e+00
7.372531356042935613e+01,7.267318892965674015e-01,4.922429545161955411e-01,6.510169923005606485e+00
7.372531356042935613e+01,7.267318892965674015e-01,4.922429545161955411e-01,6.510169923005606485e+00
7.372163466322112413e+01,7.266672849813478052e-01,4.931957320756342189e-01,6.514576092812234265e+00
7.372163466322112413e+01,7.266672849813478052e-01,4.931957320756342189e-01,6.514576092812234265e+00
7.372163466322112413e+01,7.266672849813478052e-01,4.931957320756342189e-01,6.514576092812234265e+00
7.372163466322112413e+01,7.266672849813478052e-01,4.931957320756342189e-01,6.514576092812234265e+00
7.379068945381342814e+01,7.282959625100429157e-01,4.400902668107547488e-01,6.341611407406344547e+00
7.370475370105273782e+01,7.271798576787502633e-01,4.436455945057184991e-01,6.352625502060623042e+00
7.370475370105273782e+01,7.271798576787502633e-01,4.436455945057184991e-01,6.352625502060623042e+00
7.370475370105273782e+01,7.271798576787502633e-01,4.436455945057184991e-01,6.352625502060623042e+00
7.368089279002676051e+01,7.271977641588783792e-01,4.387666944608836772e-01,6.316742945032919998e+00
7.368362569617222846e+01,7.272306656109891465e-01,4.362491530835922449e-01,6.307731296085773209e+00
7.368362569617222846e+01,7.272306656109891465e-01,4.362491530835922449e-01,6.307731296085773209e+00
7.368362569617222846e+01,7.272306656109891465e-01,4.362491530835922449e-01,6.307731296085773209e+00
7.341404907557831905e+01,7.238998390226191182e-01,4.531605716404858986e-01,6.346088479034344587e+00
7.341404907557831905e+01,7.238998390226191182e-01,4.531605716404858986e-01,6.346088479034344587e+00
7.336631633972321254e+01,7.235505192799172036e-01,4.493805449781319017e-01,6.321120404115075253e+00
7.336631633972321254e+01,7.235505192799172036e-01,4.493805449781319017e-01,6.321120404115075253e+00
7.336631633972321254e+01,7.235505192799172036e-01,4.493805449781319017e-01,6.321120404115075253e+00
7.336631633972321254e+01,7.235505192799172036e-01,4.493805449781319017e-01,6.321120404115075253e+00
7.349509435082269704e+01,7.242634417666508062e-01,4.458464898996033487e-01,6.425689450724433982e+00
7.349509435082269704e+01,7.242634417666508062e-01,4.458464898996033487e-01,6.425689450724433982e+00
7.349509435082269704e+01,7.242634417666508062e-01,4.458464898996033487e-01,6.425689450724433982e+00
7.349509435082269704e+01,7.242634417666508062e-01,4.458464898996033487e-01,6.425689450724433982e+00
7.349509435082269704e+01,7.242634417666508062e-01,4.458464898996033487e-01,6.425689450724433982e+00
7.349509435082269704e+01,7.242634417666508062e-01,4.458464898996033487e-01,6.425689450724433982e+00
7.349509435082269704e+01,7.242634417666508062e-01,4.458464898996033487e-01,6.425689450724433982e+00
7.348011299943649988e+01,7.243180737942485070e-01,4.222529366208381263e-01,6.373923547481830099e+00
7.348011299943649988e+01,7.243180737942485070e-01,4.222529366208381263e-01,6.373923547481830099e+00
7.348011299943649988e+01,7.243180737942485070e-01,4.222529366208381263e-01,6.373923547481830099e+00
7.348011299943649988e+01,7.243180737942485070e-01,4.222529366208381263e-01,6.373923547481830099e+00
7.348011299943649988e+01,7.243180737942485070e-01,4.222529366208381263e-01,6.373923547481830099e+00
7.348011299943649988e+01,7.243180737942485070e-01,4.222529366208381263e-01,6.373923547481830099e+00
7.338861837113547892e+01,7.242277323927333033e-01,4.635180859729018943e-01,6.315585839535359902e+00
7.338861837113547892e+01,7.242277323927333033e-01,4.635180859729018943e-01,6.315585839535359902e+00
7.328939699218850023e+01,7.230273302453207318e-01,4.616074373764840200e-01,6.290000824481630559e+00
7.328939699218850023e+01,7.230273302453207318e-01,4.616074373764840200e-01,6.290000824481630559e+00
7.328939699218850023e+01,7.230273302453207318e-01,4.616074373764840200e-01,6.290000824481630559e+00
7.338674248201385808e+01,7.234227206232971552e-01,4.580653245025326781e-01,6.424578020461705563e+00
7.338674248201385808e+01,7.234227206232971552e-01,4.580653245025326781e-01,6.424578020461705563e+00
7.338674248201385808e+01,7.234227206232971552e-01,4.580653245025326781e-01,6.424578020461705563e+00
7.338674248201385808e+01,7.234227206232971552e-01,4.580653245025326781e-01,6.424578020461705563e+00
7.361307616859808434e+01,7.246472435454294203e-01,4.514687580723116267e-01,6.619400854646920074e+00
7.361307616859808434e+01,7.246472435454294203e-01,4.514687580723116267e-01,6.619400854646920074e+00
7.361307616859808434e+01,7.246472435454294203e-01,4.514687580723116267e-01,6.619400854646920074e+00
7.361307616859808434e+01,7.246472435454294203e-01,4.514687580723116267e-01,6.619400854646920074e+00
7.361307616859808434e+01,7.246472435454294203e-01,4.514687580723116267e-01,6.619400854646920074e+00
7.361307616859808434e+01,7.246472435454294203e-01,4.514687580723116267e-01,6.619400854646920074e+00
7.361307616859808434e+01,7.246472435454294203e-01,4.514687580723116267e-01,6.619400854646920074e+00
7.361307616859808434e+01,7.246472435454294203e-01,4.514687580723116267e-01,6.619400854646920074e+00
7.359590960601444465e+01,7.242263869302091317e-01,4.512236186406236027e-01,6.644685098689081748e+00
7.356154058501907400e+01,7.250249509808841530e-01,4.684204523428244782e-01,6.513419180342793879e+00
7.356154058501907400e+01,7.250249509808841530e-01,4.684204523428244782e-01,6.513419180342793879e+00
