# DES-SN Y5 (Dovekie HD): CID z_HD mu sigma_total
# sigma_total = sqrt(MUERR^2 + MUERR_VPEC^2 + MUERR_SYS^2)
# N_unique_SN = 1820 (1623 DES + 197 external low-z); N_rows = 1820
# Source: DES Collaboration, DES-SN5YR data release (public)
1791048 0.21094 39.90133 0.125756
1257366 0.21136 40.13584 0.168933
1309013 0.21260 40.01692 0.437002
1887027 0.21303 40.10499 0.182698
1292805 0.21415 41.12692 0.903458
1297501 0.21492 39.79939 0.264090
1249851 0.21511 40.09896 0.102387
1371126 0.21601 40.25572 0.100062
1304442 0.21711 40.18207 0.171591
1282114 0.21781 40.26232 0.185247
1313230 0.21792 40.09856 0.099328
1295062 0.21839 40.05123 0.300063
1290816 0.21847 40.31675 0.172164
1919017 0.21849 40.17131 0.226080
1304678 0.21883 40.10356 0.115457
1342255 0.21885 40.06356 0.115170
1250912 0.21898 40.34771 0.268373
1682020 0.21924 39.95573 0.109073
1302187 0.21942 39.96014 0.217623
1259352 0.21986 40.04110 0.137753
1867019 0.22101 40.45498 0.283323
1331123 0.22157 40.28881 0.115449
1929063 0.22211 40.15870 0.218793
1259246 0.22284 40.09276 0.183749
1249137 0.22305 40.20316 0.226024
1641279 0.22398 40.17738 0.110731
1878148 0.22453 40.24418 0.125372
1292560 0.22482 40.26777 0.100466
1248039 0.22566 40.27718 0.262503
1315192 0.22714 40.14119 0.167947
1249308 0.22806 40.50123 0.197217
1315259 0.22806 40.23671 0.156072
1879426 0.22941 40.24144 0.111758
1288083 0.23048 40.25625 0.118877
1291149 0.23057 42.30845 238.612005
1262746 0.23079 40.29796 0.125238
1302648 0.23171 40.15341 0.182666
1275946 0.23212 40.32782 0.118563
1262201 0.23279 40.78688 201.500505
1310367 0.23332 40.44286 0.123669
1292336 0.23355 40.22620 0.184606
1336687 0.23380 40.15655 0.241395
1279500 0.23470 40.35195 0.148053
1656029 0.23480 40.97115 111.266424
1319366 0.23482 40.24048 0.151373
